code,name,description,category,url
1,Mondial,,,
2,Régional,,,
3,Multinational,,,
4,National,,,
5,Infranational : multiples régions administratives de premier niveau,,,
6,Infranational : Région administrative unique de premier niveau,,,
7,Infranational : Région administrative unique de deuxième niveau,,,
8,Un seul emplacement,,,
