code,name,description,category,url
1,Agrovoc,"A controlled vocabulary covering all areas of interest of the Food and Agriculture Organization (FAO) of the United Nations, including food, nutrition, agriculture, fisheries, forestry, environment etc.",,http://artemide.art.uniroma2.it:8081/agrovoc/agrovoc/en/
99,Reporting Organisation,,,
