code,name,description,category,url
1,OECD DAC,Supra-national regions according to OECD DAC CRS recipient codes,,
2,UN,Supra-national regions maintained by UN Statistics Division,,
99,Reporting Organisation,The region reported corresponds to a region vocabulary maintained by the reporting organisation for this activity.,,
